,,,,,,,,,,,,,,,,,,,,,,,,,
1,1687692600,0.382,0.338,0.322,0.54,0.257,0.316,0.641,0.42,0.531,0.413,0.421,0.479,0.342,0.372,0.361,0.28,0.281,0.922,,,,,,
3,1687692600,1.352,1.339,1.308,1.157,1.276,1.314,1.579,1.651,1.702,1.503,1.486,1.451,1.47,1.495,1.424,1.255,1.227,1.187,,,,,,
7,1687692600,,,,,,,,,,,,,,,,,,,,,,,,
9,1687692600,1.657,1.548,1.634,1.661,1.67,1.678,1.798,1.878,1.719,1.66,1.906,1.794,1.777,1.622,1.673,1.482,1.699,1.713,,,,,,
10,1687692600,1.916,1.913,1.971,1.944,1.926,1.916,1.938,2.05,2.069,2.145,2.65,2.22,1.996,1.919,2.05,1.904,1.973,1.901,,,,,,
12,1687692600,2.313,2.25,2.294,2.402,2.411,2.448,2.538,2.339,2.297,2.547,2.732,3.266,2.371,2.323,2.628,2.391,2.396,2.357,,,,,,
16,1687692600,1.829,1.912,1.749,2.051,1.67,2.188,1.893,1.781,1.758,1.912,1.918,2.031,1.801,1.936,1.843,1.74,1.677,1.805,1.659,1.726,1.694,,,
17,1687692600,2.418,2.58,2.576,2.583,2.344,2.529,2.456,2.478,2.676,2.802,2.534,2.931,2.589,2.55,2.703,2.475,2.612,2.635,2.455,2.546,2.461,,,
18,1687692600,18.587,18.641,18.553,18.604,21.018,18.776,19.068,18.566,18.578,18.889,18.569,18.775,18.608,18.813,18.624,18.529,18.771,18.529,,,,,,
21,1687692600,1.086,1.152,1.067,1.13,1.152,1.162,1.175,1.082,1.111,1.167,1.472,1.25,1.043,1.184,1.014,1.061,0.92,0.824,,,,,,
1,1687694400,0.502,0.505,0.425,0.675,0.641,0.652,0.307,0.316,0.344,0.412,0.371,0.298,0.37,0.335,0.437,0.726,0.566,0.783,0.444,0.437,0.36,0.345,0.255,0.303
3,1687694400,1.255,1.511,1.271,5.472,4.575,1.579,1.306,1.336,1.238,1.342,1.462,1.533,1.284,1.38,1.35,1.867,1.765,2.026,1.594,1.444,1.392,1.261,1.244,1.331
7,1687694400,,,,,,,,,,,,,,,,,,,,,,,,
9,1687694400,1.796,1.678,1.685,1.796,1.823,2.016,1.604,1.708,1.545,1.629,1.629,1.627,1.641,1.517,1.544,1.89,1.993,1.933,1.796,1.716,1.822,1.514,1.572,1.606
10,1687694400,2.105,2.073,2.053,2.491,2.65,2.633,2.024,1.971,2.185,2.012,2.054,2.059,2.106,2.165,2.139,2.107,2.479,2.511,2.033,1.968,1.935,1.97,1.966,2.707
12,1687694400,2.92,2.84,2.396,2.774,3.538,3.249,2.369,2.389,2.232,2.378,2.404,2.279,2.433,2.386,2.363,2.44,3.47,3.429,2.417,2.251,2.551,2.383,2.369,2.208
16,1687694400,1.874,1.887,1.813,2.033,1.987,2.732,1.902,1.802,1.94,1.745,1.846,1.879,1.695,1.697,1.767,2.148,2.12,2.212,1.73,1.865,1.701,1.734,1.671,1.707
17,1687694400,2.597,2.566,2.577,2.703,2.971,3.076,2.538,2.371,2.401,2.615,2.453,2.391,2.471,2.454,2.622,2.794,2.691,3.199,2.471,2.407,2.612,2.394,2.425,2.631
18,1687694400,18.652,18.557,18.633,18.878,18.733,19.013,18.657,18.631,18.58,18.731,18.678,19.342,18.517,18.605,19.14,18.917,19.541,19.21,20.307,18.614,21.069,25.024,18.557,18.481
21,1687694400,1.248,1.19,1.246,1.253,1.296,1.557,1.061,1.488,1.105,1.131,1.93,1.086,1.064,0.996,1.165,2.168,1.369,2.293,1.283,0.931,1.108,0.962,0.931,0.957
1,1687696200,0.261,0.259,0.353,0.363,0.313,0.291,0.326,0.359,0.352,0.443,0.431,0.406,0.253,0.217,0.488,0.395,0.4,0.279,,,,,,
3,1687696200,1.429,1.362,1.849,1.239,1.296,1.289,1.165,1.203,1.376,1.532,1.542,1.927,1.365,1.241,1.426,1.086,1.237,1.297,,,,,,
7,1687696200,,,,,,,,,,,,,,,,,,,,,,,,
9,1687696200,1.583,1.7,1.6,1.53,1.564,1.543,1.543,1.67,1.506,1.634,1.727,1.863,1.594,1.622,1.709,1.615,1.544,1.767,,,,,,
10,1687696200,1.87,1.899,1.883,1.911,1.87,1.852,2.254,2.033,2.055,2.59,2.024,3.145,3.816,2.052,2.118,1.965,1.893,2.086,,,,,,
12,1687696200,2.755,2.336,2.384,2.649,2.422,2.338,2.347,2.316,2.438,2.572,2.479,2.632,2.468,2.346,2.578,2.36,2.39,2.418,,,,,,
16,1687696200,1.717,1.683,1.758,1.616,1.652,1.63,1.711,1.666,1.737,1.727,1.731,1.798,1.827,1.984,1.925,1.748,1.74,1.812,1.781,1.864,1.902,,,
17,1687696200,2.706,2.561,2.551,2.512,2.258,2.435,2.46,2.448,2.589,2.316,2.452,2.444,2.593,2.489,2.545,2.499,2.45,2.47,2.631,2.629,2.688,,,
18,1687696200,18.609,18.773,18.601,19.176,18.637,18.856,19.851,20.296,18.657,21.013,18.609,18.687,18.728,18.608,18.875,19.44,18.617,18.917,,,,,,
21,1687696200,1.318,1.153,1.011,0.97,1.011,1.126,1.008,1.028,1.215,1.284,1.152,1.191,1.131,1.176,1.005,1.013,1.006,0.999,,,,,,
1,1687698000,0.436,0.558,0.685,0.572,0.551,0.547,0.426,0.257,0.275,0.367,0.276,0.293,0.335,0.304,0.27,0.517,0.468,0.429,0.324,0.341,0.32,0.248,0.279,0.317
3,1687698000,1.438,1.617,1.593,2.729,3.11,4.106,1.355,1.218,1.315,1.265,1.352,1.205,1.152,1.196,1.258,4.463,1.372,1.656,1.297,1.278,1.317,1.292,1.25,1.19
7,1687698000,,,,,,,,,,,,,,,,,,,,,,,,
9,1687698000,1.838,1.998,2.108,1.876,1.8,1.907,1.565,1.557,1.629,1.542,1.551,1.541,1.586,1.633,1.567,1.749,1.738,1.87,1.634,1.588,1.555,1.562,1.573,1.594
10,1687698000,2.077,2.179,2.369,2.563,2.399,2.191,1.948,1.907,1.838,1.958,1.955,1.95,1.888,2.17,1.91,2.561,2.26,2.316,2.099,1.961,2.046,2.058,1.967,1.993
12,1687698000,2.653,2.664,2.678,2.76,2.855,2.722,2.439,2.314,2.418,2.538,2.477,2.511,2.239,2.415,2.6,2.524,2.397,2.661,2.397,2.41,2.455,2.24,2.345,2.281
16,1687698000,1.984,1.845,1.917,2.282,2.171,2.258,1.774,1.729,1.742,1.861,1.946,1.758,1.652,1.679,1.665,2.379,2.039,2.239,1.74,1.834,1.883,1.716,1.656,1.809
17,1687698000,2.647,2.842,2.593,2.759,2.637,2.788,2.513,2.544,2.468,2.484,2.579,2.624,2.483,2.403,2.541,2.702,2.75,2.491,2.407,2.661,2.581,2.438,2.495,2.479
18,1687698000,18.968,18.787,18.618,18.639,18.707,18.631,18.649,18.503,18.57,18.796,18.693,18.585,18.549,20.106,18.937,18.749,18.798,18.701,18.685,18.545,18.735,19.276,18.654,18.656
21,1687698000,1.501,1.261,1.558,1.403,1.836,1.552,0.983,1.145,1.019,1.177,0.931,1.055,1.046,1.201,1.196,2.157,1.956,1.19,1.088,1.037,0.902,1.078,1.068,0.942
1,1687699800,0.371,0.357,0.356,0.494,0.398,0.502,0.244,0.3,0.375,0.387,0.421,0.441,0.402,0.33,0.356,0.258,0.243,0.388,,,,,,
3,1687699800,1.295,1.275,1.399,1.515,1.344,1.579,1.251,1.274,1.314,1.98,2.013,1.699,1.501,1.306,1.262,1.15,1.212,1.216,,,,,,
7,1687699800,,,,,,,,,,,,,,,,,,,,,,,,
9,1687699800,1.618,1.532,1.746,1.612,1.593,1.802,1.621,1.577,1.581,1.65,1.64,1.587,1.59,1.671,1.744,1.487,1.518,1.589,,,,,,
10,1687699800,2.137,1.98,2.231,1.974,1.912,2.074,1.89,1.912,2.047,2.368,2.165,2.12,1.946,1.929,2.029,1.783,1.893,1.991,,,,,,
12,1687699800,2.352,2.46,3.197,2.397,2.48,2.275,2.317,2.302,2.59,2.422,2.43,2.505,2.492,2.599,2.389,2.443,2.539,2.305,2.604,2.436,2.346,,,
16,1687699800,1.763,1.789,1.805,1.658,1.657,1.623,1.792,2.088,1.979,1.911,1.686,1.656,1.831,1.894,1.893,1.69,1.776,1.707,1.702,1.776,1.717,,,
17,1687699800,2.448,2.497,2.677,2.408,2.426,2.441,2.704,2.509,2.824,2.568,2.61,2.421,2.666,2.595,2.634,2.497,2.471,2.688,2.507,2.398,2.553,,,
18,1687699800,18.558,18.668,19.531,18.621,18.676,18.755,18.867,18.507,18.667,18.729,83.932,18.696,18.521,18.531,18.618,18.646,18.528,18.396,,,,,,
21,1687699800,1.108,0.974,1.059,1.389,0.943,1.218,1.042,1.019,1.777,1.192,1.19,1.19,1.083,1.085,1.058,1.228,0.884,0.904,,,,,,
1,1687701600,0.412,0.425,0.386,1.154,0.708,0.801,0.37,0.334,0.236,0.417,0.423,0.542,1.906,2.009,3.02,0.57,0.604,0.667,0.3,0.332,0.334,0.325,0.281,0.243
